BROKERTITLE,TYPE,PRICE,BEDS,BATH,ADDRESS,STATE,LOCALITY,SUBLOCALITY,STREET_NAME
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,6750000,3,3,525 W 22nd St Apt 2F,"New York, NY 10011",New York County,New York,Manhattan
Brokered by Sowae Corp,House for sale,580000,6,3,801 Thomas S Boyland St,"Brooklyn, NY 11212",New York,Kings County,Brooklyn
Brokered by Daniel Gale of Brooklyn LLC,Townhouse for sale,700000,4,2,5473 Kings Hwy,"Brooklyn, NY 11203",New York,Kings County,Brooklyn
Brokered by Eva Real Estate LLC,House for sale,550000,3,2,690 N Railroad Ave,"Staten Island, NY 10304",New York,Richmond County,Staten Island
"Brokered by Robert Defalco Realty, Inc.",Townhouse for sale,315000,3,2,2806 Richmond Ter,"Staten Island, NY 10303",New York,Richmond County,Staten Island
Brokered by COMPASS,Condo for sale,1695000,2,2,175 Jackson St Apt 4D,"Brooklyn, NY 11211",Kings County,Brooklyn,Williamsburg
Brokered by Jonarbri Realty,Co-op for sale,385000,2,1,420 44th St Apt 3,"Brooklyn, NY 11220",Kings County,Brooklyn,Sunset Park
Brokered by Brown Harris Stevens,Townhouse for sale,2000000,5,3,246 W 123rd St Unit Townhouse,"Manhattan, NY 10027",New York,New York County,New York
Brokered by Exp Realty,Co-op for sale,249999,2,1,2018 E 59th St Unit 159D,"Old Mill Basin, NY 11234",Kings County,Brooklyn,Mill Basin
Brokered by Cruz Network The Bronx Realty,House for sale,749000,3,2,2225 Seward Ave,"Bronx, NY 10473",New York,Bronx County,The Bronx
Brokered by Howard Hanna Coach Realtors - Floral Park,Co-op for sale,270000,1,1,18-75 Corporal Kennedy St Unit 5J,"Bayside, NY 11360",Queens County,Queens,Bayside
Brokered by Winzone Realty Inc,House for sale,998000,4,2,214-39 45th Dr,"Bayside, NY 11361",New York,Queens County,Queens
Brokered by B Square Realty,Multi-family home for sale,1150000,12,6,254 Jefferson St,"Brooklyn, NY 11237",New York,Kings County,Brooklyn
Brokered by RE MAX Edge,House for sale,799999,5,4,57 Middle Loop Rd,"Staten Island, NY 10308",New York,Richmond County,Staten Island
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,395000,3,1,69 W 9th St Apt 4C,"New York, NY 10011",New York County,New York,Manhattan
Brokered by The Agency,Condo for sale,2800000,2,2,15 W 96th St Unit 14B,"New York, NY 10025",New York County,New York,Manhattan
Brokered by Keller Williams Rlty Landmark,Co-op for sale,329888,3,1,210-15 23 Ave Unit 1,"Bayside, NY 11360",Queens County,Queens,Bayside
Brokered by Piastro Realty LLC,Co-op for sale,311000,1,1,40 Brighton 1 Rd Unit 6B,"Brooklyn, NY 11235",Kings County,Brooklyn,Brighton Beach
Brokered by Corcoran Park Slope,Condo for sale,649000,3,2,326 Melrose St Apt 1A,"Brooklyn, NY 11237",Kings County,Brooklyn,Bushwick
Brokered by RE MAX Distinguished Homes & Properties,Co-op for sale,159000,1,1,2630 Kingsbridge Ter Apt 7Y,"Bronx, NY 10463",Bronx County,The Bronx,Fordham Manor
Brokered by RE MAX Edge,House for sale,1148000,3,2,334 100th St,"Brooklyn, NY 11209",New York,Kings County,Brooklyn
Brokered by Desimone Real Estate,Co-op for sale,669000,3,2,3901 Nostrand Ave Apt 6P,"Brooklyn, NY 11235",New York,Kings County,Brooklyn
Brokered by Hometown Properties,Co-op for sale,305000,1,1,7259 Shore Rd Apt 3G,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by Compass Greater NY LLC,Co-op for sale,599000,3,2,18-15 215 St Unit 2D,"Bayside, NY 11360",Queens County,Queens,Bayside
Brokered by COMPASS,House for sale,1375000,3,2,417 17th St,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,339000,2,2,86C Edgewater Park Unit C,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by Brown Harris Stevens,Condo for sale,849500,2,2,161 E 110th St Apt 7A,"Manhattan, NY 10029",New York County,New York,Manhattan
"Brokered by Robert Defalco Realty, Inc.",Contingent,379000,4,1,20 Bay St Lndg Unit 3J,"Staten Island, NY 10301",Richmond County,Staten Island,Mid Island
Brokered by Chase Global Realty Corp,Condo for sale,699000,2,2,31-38 137 St Unit 8A,"Flushing, NY 11354",Queens County,Queens,Flushing
Brokered by Brown Harris Stevens,Co-op for sale,565000,1,1,107 W 70th St Apt 4F,"Manhattan, NY 10023",New York County,New York,Manhattan
Brokered by BERKSHIRE HATHAWAY,Pending,750000,4,3,116-46 233rd St,"Cambria Heights, NY 11411",New York,Queens County,Queens
Brokered by Keller Williams Realty NYC Grp,Multi-family home for sale,1250000,9,3,1847 Barnes Ave,"Bronx, NY 10462",New York,Bronx County,The Bronx
Brokered by Serhant,Condo for sale,999000,2,2,775 Riverside Dr Apt 5H,"New York, NY 10032",New York County,New York,Manhattan
Brokered by Pin It Realty Llc,House for sale,1350000,6,4,380 Beach 13th St,"Far Rockaway, NY 11691",New York,Queens County,Queens
Brokered by Island Advantage Realty Llc,House for sale,669900,3,2,181-10 93rd Ave,"Hollis, NY 11423",New York,Queens County,Queens
Brokered by Oxford Property Group,Co-op for sale,399000,3,1,36 W 35th St Apt 5D,"New York, NY 10001",New York County,New York,Manhattan
Brokered by EXIT REALTY PRIME,Pending,779000,5,3,193-06 122nd Ave,"Jamaica, NY 11413",New York,Queens County,Queens
Brokered by Winzone Realty Inc,Multi-family home for sale,1200000,5,2,2546 E 29th St,"Brooklyn, NY 11235",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,895000,2,1,55 E 65th St Apt 4A,"Manhattan, NY 10065",New York County,New York,Manhattan
Brokered by Sowae Corp,Condo for sale,369000,3,1,720 57th St Apt 4C,"Brooklyn, NY 11220",Kings County,Brooklyn,Sunset Park
Brokered by RE MAX Edge,Co-op for sale,299000,1,1,7119 Shore Rd Apt 2C,"Brooklyn, NY 11209",Kings County,Brooklyn,Bay Ridge
Brokered by Douglas Elliman - 3544 Johnson Ave,Pending,1780000,4,3,735 Ladd Rd,"Bronx, NY 10471",New York,Bronx County,The Bronx
Brokered by Mitra Hakimi Realty Group LLC,House for sale,988000,5,2,211 E 53rd St,"Brooklyn, NY 11203",New York,Kings County,Brooklyn
Brokered by EXP Realty,Co-op for sale,279000,2,1,196-44 69th Ave Unit 1ST,"Fresh Meadows, NY 11365",Queens County,Queens,Fresh Meadows
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,285000,3,1,417 E 87th St Apt 3B,"New York, NY 10128",New York County,New York,Manhattan
Brokered by Redfin Real Estate,House for sale,988000,3,3,31-20 Buell St,"East Elmhurst, NY 11369",New York,Queens County,Queens
Brokered by COMPASS,Co-op for sale,735000,1,1,205 W 95th St Apt 3B,"Manhattan, NY 10025",New York County,New York,Manhattan
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,2950000,2,2,20 Bond St Apt 2,"New York, NY 10012",New York County,New York,Manhattan
Brokered by COMPASS,Co-op for sale,899000,2,1,345 W 55th St Apt 6B,"Manhattan, NY 10019",New York County,New York,Manhattan
Brokered by Home Sweet Homes Real Prop Inc,House for sale,850000,4,2,49-12 167th St,"Fresh Meadows, NY 11365",New York,Queens County,Queens
Brokered by Coldwell Banker American Homes,Multi-family home for sale,670000,3,2,5514 Tilden Ave,"Brooklyn, NY 11203",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,968000,4,2,1705 Hone Ave,"Bronx, NY 10461",New York,Bronx County,The Bronx
Brokered by Signature Premier Properties,Co-op for sale,320000,2,2,3121 Middletown Rd Apt 2K,"Bronx, NY 10461",Bronx County,The Bronx,Pelham Bay
Brokered by EXP Realty,Co-op for sale,228888,1,1,85-15 Main St Unit 7A,"Briarwood, NY 11435",Queens County,Queens,Jamaica
Brokered by Keller Williams Realty Liberty,Co-op for sale,199888,2,1,151-25 88 St Unit 4E,"Howard Beach, NY 11414",Queens County,Queens,Howard Beach
Brokered by Serhant,Co-op for sale,5995000,4,4,110 Franklin St Unit 1,"New York, NY 10013",New York County,New York,Manhattan
Brokered by CENTURY 21 Kafcos Realty,Multi-family home for sale,1430000,6,4,242 Balcom Ave,"Bronx, NY 10465",New York,Bronx County,The Bronx
Brokered by United Realty Associates,Multi-family home for sale,1350888,4,3,61-26 69th Ln,"Middle Village, NY 11379",New York,Queens County,Queens
Brokered by TRACEY REAL ESTATE,Co-op for sale,699000,2,1,125 Ocean Ave Apt 1J,"Brooklyn, NY 11225",Kings County,Brooklyn,Little Caribbean
Brokered by Pride Estates,House for sale,699000,3,2,2526 Ralph Ave,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,2000000,3,2,106 E 85th St Apt 5S,"Manhattan, NY 10028",New York County,New York,Manhattan
Brokered by Winzone Realty Inc,Co-op for sale,538888,3,2,23-55 Bell Blvd Unit 6G,"Bayside, NY 11360",Queens County,Queens,Bayside
"Brokered by Robert DeFalco Realty, Inc.",House for sale,574999,3,2,190 Vanderbilt Ave,"Staten Island, NY 10304",New York,Richmond County,Staten Island
Brokered by Prime Properties Long Island,Co-op for sale,275000,1,1,65-15 Yellowstone Blvd Unit 5H,"Forest Hills, NY 11375",Queens County,Queens,Forest Hills
Brokered by Redfin Real Estate,House for sale,1499888,4,3,209-35 30th Ave,"Bayside, NY 11360",New York,Queens County,Queens
Brokered by KELLER WILLIAMS REALTY EMPIRE,Co-op for sale,270000,3,1,300 8th Ave Apt 1N,"Brooklyn, NY 11215",Kings County,Brooklyn,Park Slope
Brokered by The Sidmar Group Llc,House for sale,675000,4,3,2760 Hone Ave,"Bronx, NY 10469",New York,Bronx County,The Bronx
Brokered by Howard Hanna | Rand Realty,Co-op for sale,149000,1,1,4380 Vireo Ave Apt 6R,"Bronx, NY 10470",Bronx County,The Bronx,East Bronx
Brokered by De Luca Realty Group INC,Co-op for sale,299999,2,1,120B Edgewater Park Unit 120B,"Bronx, NY 10465",Bronx County,The Bronx,East Bronx
Brokered by COMPASS,Co-op for sale,595000,3,2,775 Lafayette Ave Apt 6D,"Brooklyn, NY 11221",Kings County,Brooklyn,Bedford-Stuyvesant
Brokered by Highlite Homes Realty,Co-op for sale,536000,2,2,3671 Hudson Manor Ter Apt 14J,"Bronx, NY 10463",Bronx County,The Bronx,Riverdale
Brokered by United Realty Associates,Co-op for sale,288000,2,1,47-31 216th St Unit 3B,"Bayside, NY 11361",Queens County,Queens,Bayside
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,19499999,4,4,182 Franklin St,"New York, NY 10013",New York,New York County,New York
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,6995000,4,4,36 Schermerhorn St,"Brooklyn, NY 11201",New York,Kings County,Brooklyn
Brokered by Bergen Basin Realty Llc,House for sale,799000,3,2,2034 E 36th St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by COMPASS,Condo for sale,4000000,4,4,247 Water St Unit Ph,"Manhattan, NY 10038",New York,New York County,PECK SLIP
Brokered by RE MAX Prestige Properties,Co-op for sale,165000,1,1,1922 McGraw Ave Apt 6E,"Bronx, NY 10462",Bronx County,The Bronx,Parkchester
Brokered by TDMT - The Development Marketing Team,Condo for sale,1475000,2,2,429 Kent Ave Unit 902,"Brooklyn, NY 11249",Kings County,Brooklyn,Southside
Brokered by TDMT - The Development Marketing Team,Condo for sale,595000,3,1,595 Main St Apt 410,"Roosevelt Island, NY 10044",New York County,New York,Manhattan
Brokered by COMPASS,Townhouse for sale,3500000,10,8,313 W 92nd St,"Manhattan, NY 10025",New York,New York County,New York
Brokered by Trademarko Realty Inc,Multi-family home for sale,1090000,12,6,17-25 Menahan St,"Ridgewood, NY 11385",New York,Queens County,Queens
Brokered by Coldwell Banker Reliable Real Estate,House for sale,699999,5,2,2318 Holland Ave,"Bronx, NY 10467",New York,Bronx County,The Bronx
Brokered by Winzone Realty Inc,House for sale,899000,4,2,140-95 Burden Cres,"Jamaica, NY 11435",New York,Queens County,Queens
Brokered by Momentum Real Estate Llc,House for sale,549000,3,2,15 Astor Ave,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by Keller Williams NYC,Townhouse for sale,3700000,6,4,14 Fillmore Pl,"Brooklyn, NY 11211",New York,Kings County,Brooklyn
"Brokered by Tom Crimmins Realty, Ltd.",House for sale,768000,5,2,18 Albion Pl,"Staten Island, NY 10302",New York,Richmond County,Staten Island
Brokered by Real Broker NY LLC,House for sale,949000,4,2,61 Park Dr N,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by BLUEPRINT EQUITIES,Multi-family home for sale,980000,6,3,1139 Grant Ave,"Brooklyn, NY 11208",New York,Kings County,Brooklyn
Brokered by Keller Williams Realty Greater Nassau,Multi-family home for sale,849000,8,3,660 Magenta St,"Bronx, NY 10467",New York,Bronx County,The Bronx
Brokered by EXP Realty,Co-op for sale,269000,1,1,67-66 108th St Unit B68,"Forest Hills, NY 11375",New York,Queens County,Queens
Brokered by The Agency,Co-op for sale,770000,2,1,66 W 84th St Apt 4A,"New York, NY 10024",New York County,New York,Manhattan
Brokered by Corcoran East Side,Multi-family home for sale,750000,1,1,504 W 110th St Apt 9C,"New York, NY 10025",New York County,New York,Manhattan
Brokered by CAROZZA NICHOLAS M,House for sale,638000,3,2,154 Revere Ave Unit 5589/141,"Nyc, NY 10465",Bronx County,The Bronx,East Bronx
Brokered by Tony & William R E Brotherhood,Co-op for sale,199000,1,1,138-69 Jewel Ave Unit A,"Flushing, NY 11367",Queens County,Queens,Flushing
Brokered by Charles H. Greenthal Property,Co-op for sale,239000,1,1,26910 Grand Central Pkwy Apt 7P,"Floral Park, NY 11005",Queens County,Queens,Glen Oaks
Brokered by Fillmore Real Estate,House for sale,693000,4,2,220-19 135th Ave,"Springfield Gardens, NY 11413",New York,Queens County,Queens
Brokered by Belle Maison Realty Inc,Multi-family home for sale,1150000,5,3,79-10 Grand Ave,"Elmhurst, NY 11373",New York,Queens County,Queens
Brokered by Corcoran Bedford Stuyvesant,Co-op for sale,549000,1,1,56 Jane St Apt 1B,"New York, NY 10014",New York County,New York,Manhattan
Brokered by HomeSmart CrossIsland,House for sale,889000,3,2,108-36 Ditmars Blvd,"East Elmhurst, NY 11369",New York,Queens County,Queens
Brokered by Century 21 Realty First,Multi-family home for sale,1075000,7,3,257 49th St,"Brooklyn, NY 11220",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,6995000,5,4,239 E 48th St,"New York, NY 10017",New York,New York County,New York
Brokered by Local Realty,Co-op for sale,155000,3,1,84-50 169 St Unit 519,"Jamaica, NY 11432",Queens County,Queens,Jamaica
Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op for sale,349000,2,1,773 Eastern Pkwy Apt 2A,"Crown Heights, NY 11213",New York,Kings County,Brooklyn
Brokered by COMPASS,Co-op for sale,825000,2,1,250 W 103rd St Apt 7D,"Manhattan, NY 10025",New York County,New York,Manhattan
Brokered by Parkchester Bronx Realty Inc,Condo for sale,215000,2,1,1604 Metropolitan Ave,"Bronx, NY 10462",New York,Bronx County,The Bronx
Brokered by BERGEN BASIN REALTY,House for sale,1099000,3,2,2164 E 72nd St,"Brooklyn, NY 11234",New York,Kings County,Brooklyn
Brokered by COMPASS,Townhouse for sale,2900000,3,3,845 United Nations Plz Apt 6A,"Manhattan, NY 10017",New York County,New York,Manhattan
Brokered by EXP Realty,Pending,555000,3,1,80-07 Margaret Pl,"Glendale, NY 11385",New York,Queens County,Queens
Brokered by First Class Realty Enterprises,Multi-family home for sale,697777,3,2,130-21 Lefferts Blvd,"South Ozone Park, NY 11420",New York,Queens County,Queens
Brokered by E-House Realty of Avenue U Inc,House for sale,850000,3,2,51 Shiloh St,"Staten Island, NY 10314",New York,Richmond County,Staten Island
Brokered by EXP Realty,Contingent,1175000,3,3,29 Douglas Rd,"Staten Island, NY 10304",New York,Richmond County,Staten Island
"Brokered by Nest Seekers International, Midtown",Co-op for sale,545000,1,1,445 E 86th St Apt 16C,"New York, NY 10028",New York County,New York,Manhattan
"Brokered by Nest Seekers International, Long Island",Condo for sale,749000,1,2,20-48 Steinway St Unit 1B,"Queens, NY 11105",Queens County,Queens,Astoria
"Brokered by Nest Seekers International, Midtown",House for sale,13000000,5,4,141 W 95th St,"New York, NY 10025",New York,New York County,New York
Brokered by Robert Defalco Realty Inc.,Townhouse for sale,549999,3,2,339 Union Ave Unit 41,"Staten Island, NY 10303",Richmond County,Staten Island,Mariners Harbor
Brokered by RE MAX Distinguished Homes & Properties,Condo for sale,365000,3,2,276 Buttrick Ave Unit I3,"Bronx, NY 10465",Bronx County,The Bronx,East Bronx
Brokered by Corcoran Bedford Stuyvesant,Condo for sale,695000,2,2,508A Lexington Ave # 2,"Brooklyn, NY 11221",Kings County,Brooklyn,Bedford-Stuyvesant
Brokered by Keystone Realty USA Corp,Multi-family home for sale,848000,5,2,156 Beach 26th St,"Far Rockaway, NY 11691",New York,Queens County,Queens
Brokered by CENTURY 21 MK Realty,Condo for sale,699000,3,2,1515 W 4th St Apt 1R,"Brooklyn, NY 11204",Kings County,Brooklyn,Bensonhurst
Brokered by BHHS New York Properties,Co-op for sale,1075000,2,2,310 Lexington Ave Unit 10FG,"New York, NY 10016",New York County,New York,Manhattan
Brokered by Sotheby's International Realty - Downtown Manhattan,Pending,998000,3,2,309 E 108th St Apt 2B,"New York, NY 10029",New York County,New York,Manhattan
Brokered by RE MAX Edge,Condo for sale,540000,3,2,172 Greenleaf Ave Unit 2B,"Staten Island, NY 10310",Richmond County,Staten Island,Castleton Corners
Brokered by Brown Harris Stevens,Co-op for sale,165000,3,1,555 Kappock St Apt 5M,"Bronx, NY 10463",Bronx County,The Bronx,Spuyten Duyvil
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,779000,1,1,186 W 80th St Apt 3A,"New York, NY 10024",New York County,New York,Manhattan
Brokered by Corcoran Williamsburg Bedford,Condo for sale,1399999,2,2,330 E 38th St Apt 14L,"New York, NY 10016",New York County,New York,Manhattan
Brokered by Charles Rutenberg Realty Inc,Co-op for sale,569000,3,2,6011 Broadway Apt L1,"Woodside, NY 11377",Queens County,Queens,Woodside
Brokered by Corcoran Park Slope,Townhouse for sale,6295000,4,4,612 3rd St,"Brooklyn, NY 11215",New York,Kings County,Brooklyn
"Brokered by Nest Seekers International, Midtown",Condo for sale,11500000,6,7,522 W 29th St Unit 3AB,"New York, NY 10001",New York County,New York,Manhattan
Brokered by J Milo Real Estate,Condo for sale,199999,1,1,10 E 43rd St Apt 3K,"Brooklyn, NY 11203",Kings County,Brooklyn,Little Caribbean
Brokered by E Realty International Corp,Condo for sale,569000,1,1,41-62 Bowne St Unit 11C,"Flushing, NY 11355",Queens County,Queens,Flushing
Brokered by Brown Harris Stevens,Pending,345000,2,1,3135 Johnson Ave Apt 10F,"Bronx, NY 10463",Bronx County,The Bronx,Spuyten Duyvil
Brokered by Prime Realty,House for sale,1448000,3,2,155-11 14th Ave,"Beechhurst, NY 11357",New York,Queens County,Queens
"Brokered by Fillmore Real Estate Fusion Team, INC.",Co-op for sale,183000,1,1,2166 Bronx Park E Apt 5J,"Bronx, NY 10462",Bronx County,The Bronx,East Bronx
